model,rank,lambda,epoch,optimizer,NDCG,R-Precision
IFVAE,50,0.0001,19,RMSProp,0.1345,0.08
IFVAE,50,0.0001,39,RMSProp,0.1457,0.0859
IFVAE,50,0.0001,59,RMSProp,0.1538,0.0893
IFVAE,50,0.0001,79,RMSProp,0.1586,0.0917
IFVAE,50,0.0001,99,RMSProp,0.1619,0.0927
IFVAE,50,0.0001,119,RMSProp,0.1664,0.0947
IFVAE,50,0.0001,139,RMSProp,0.1676,0.096
IFVAE,50,0.0001,159,RMSProp,0.1686,0.0966
IFVAE,50,0.0001,179,RMSProp,0.1697,0.0965
IFVAE,50,0.0001,199,RMSProp,0.1698,0.0963
IFVAE,50,0.0001,219,RMSProp,0.1698,0.0958
IFVAE,50,0.0001,239,RMSProp,0.1702,0.0969
IFVAE,50,0.0001,259,RMSProp,0.1702,0.097
IFVAE,50,0.0001,279,RMSProp,0.1702,0.0971
IFVAE,50,0.0001,299,RMSProp,0.1694,0.0964
IFVAE,50,0.0001,319,RMSProp,0.1698,0.0971
IFVAE,50,0.0001,339,RMSProp,0.1688,0.0966
IFVAE,50,0.0001,359,RMSProp,0.1693,0.0958
IFVAE,50,0.0001,379,RMSProp,0.1688,0.0956
IFVAE,50,0.0001,399,RMSProp,0.1691,0.0962
IFVAE,50,0.0001,419,RMSProp,0.1687,0.0959
IFVAE,50,0.0001,439,RMSProp,0.1689,0.0955
IFVAE,50,0.0001,459,RMSProp,0.1688,0.0949
IFVAE,50,0.0001,479,RMSProp,0.1677,0.0948
IFVAE,50,0.0001,499,RMSProp,0.1679,0.0945
IFVAE,50,0.0001,519,RMSProp,0.1682,0.0945
IFVAE,50,0.0001,539,RMSProp,0.168,0.0945
IFVAE,50,0.0001,559,RMSProp,0.1672,0.0946
IFVAE,50,0.0001,579,RMSProp,0.1679,0.0945
IFVAE,50,0.0001,599,RMSProp,0.1674,0.094
IFVAE,50,0.0001,619,RMSProp,0.1681,0.0959
IFVAE,50,0.0001,639,RMSProp,0.1684,0.0947
IFVAE,50,0.0001,659,RMSProp,0.1677,0.0949
IFVAE,50,0.0001,679,RMSProp,0.167,0.0949
IFVAE,50,0.0001,699,RMSProp,0.1674,0.0946
IFVAE,50,0.0001,719,RMSProp,0.167,0.0953
IFVAE,50,0.0001,739,RMSProp,0.1673,0.0939
IFVAE,50,0.0001,759,RMSProp,0.1673,0.0945
IFVAE,50,0.0001,779,RMSProp,0.1673,0.0944
IFVAE,50,0.0001,799,RMSProp,0.167,0.0934
IFVAE,50,0.0001,819,RMSProp,0.1671,0.094
IFVAE,50,0.0001,839,RMSProp,0.1676,0.0948
IFVAE,50,0.0001,859,RMSProp,0.1673,0.0942
IFVAE,50,0.0001,879,RMSProp,0.1669,0.0938
IFVAE,50,0.0001,899,RMSProp,0.1686,0.0956
IFVAE,50,0.0001,919,RMSProp,0.1681,0.0951
IFVAE,50,0.0001,939,RMSProp,0.1676,0.0947
IFVAE,50,0.0001,959,RMSProp,0.168,0.0941
IFVAE,50,0.0001,979,RMSProp,0.1676,0.0944
IFVAE,50,0.0001,999,RMSProp,0.1675,0.0941
AutoRec,200,1e-05,19,RMSProp,0.1236,0.0747
AutoRec,200,1e-05,39,RMSProp,0.1326,0.0812
AutoRec,200,1e-05,59,RMSProp,0.1445,0.0875
AutoRec,200,1e-05,79,RMSProp,0.1523,0.0911
AutoRec,200,1e-05,99,RMSProp,0.1583,0.0948
AutoRec,200,1e-05,119,RMSProp,0.1604,0.0952
AutoRec,200,1e-05,139,RMSProp,0.1615,0.0944
AutoRec,200,1e-05,159,RMSProp,0.1626,0.0944
AutoRec,200,1e-05,179,RMSProp,0.1634,0.0941
AutoRec,200,1e-05,199,RMSProp,0.1644,0.0944
AutoRec,200,1e-05,219,RMSProp,0.1649,0.0949
AutoRec,200,1e-05,239,RMSProp,0.1659,0.0946
AutoRec,200,1e-05,259,RMSProp,0.1667,0.0944
AutoRec,200,1e-05,279,RMSProp,0.1671,0.0946
AutoRec,200,1e-05,299,RMSProp,0.1671,0.0942
AutoRec,200,1e-05,319,RMSProp,0.1672,0.0946
AutoRec,200,1e-05,339,RMSProp,0.167,0.0939
AutoRec,200,1e-05,359,RMSProp,0.1668,0.0935
AutoRec,200,1e-05,379,RMSProp,0.1667,0.0938
AutoRec,200,1e-05,399,RMSProp,0.1664,0.0938
AutoRec,200,1e-05,419,RMSProp,0.1664,0.0934
AutoRec,200,1e-05,439,RMSProp,0.1661,0.0932
AutoRec,200,1e-05,459,RMSProp,0.1654,0.0925
AutoRec,200,1e-05,479,RMSProp,0.1652,0.0918
AutoRec,200,1e-05,499,RMSProp,0.165,0.0916
AutoRec,200,1e-05,519,RMSProp,0.1645,0.0909
AutoRec,200,1e-05,539,RMSProp,0.1644,0.0906
AutoRec,200,1e-05,559,RMSProp,0.1641,0.0903
AutoRec,200,1e-05,579,RMSProp,0.1633,0.0898
AutoRec,200,1e-05,599,RMSProp,0.1625,0.0892
AutoRec,200,1e-05,619,RMSProp,0.1619,0.0886
AutoRec,200,1e-05,639,RMSProp,0.1612,0.0883
AutoRec,200,1e-05,659,RMSProp,0.1609,0.0882
AutoRec,200,1e-05,679,RMSProp,0.1608,0.0885
AutoRec,200,1e-05,699,RMSProp,0.1604,0.0881
AutoRec,200,1e-05,719,RMSProp,0.1603,0.088
AutoRec,200,1e-05,739,RMSProp,0.1599,0.088
AutoRec,200,1e-05,759,RMSProp,0.1595,0.0879
AutoRec,200,1e-05,779,RMSProp,0.1593,0.0879
AutoRec,200,1e-05,799,RMSProp,0.159,0.0878
AutoRec,200,1e-05,819,RMSProp,0.1588,0.0877
AutoRec,200,1e-05,839,RMSProp,0.1586,0.0876
AutoRec,200,1e-05,859,RMSProp,0.1586,0.0871
AutoRec,200,1e-05,879,RMSProp,0.1582,0.0869
AutoRec,200,1e-05,899,RMSProp,0.1582,0.0866
AutoRec,200,1e-05,919,RMSProp,0.1581,0.087
AutoRec,200,1e-05,939,RMSProp,0.1579,0.0868
AutoRec,200,1e-05,959,RMSProp,0.158,0.0867
AutoRec,200,1e-05,979,RMSProp,0.1579,0.0865
AutoRec,200,1e-05,999,RMSProp,0.1579,0.0864
CDAE,200,1e-05,19,RMSProp,0.1221,0.0741
CDAE,200,1e-05,39,RMSProp,0.1267,0.0768
CDAE,200,1e-05,59,RMSProp,0.1356,0.0828
CDAE,200,1e-05,79,RMSProp,0.1431,0.0874
CDAE,200,1e-05,99,RMSProp,0.146,0.0885
CDAE,200,1e-05,119,RMSProp,0.149,0.0906
CDAE,200,1e-05,139,RMSProp,0.1525,0.0919
CDAE,200,1e-05,159,RMSProp,0.1546,0.0934
CDAE,200,1e-05,179,RMSProp,0.1562,0.0936
CDAE,200,1e-05,199,RMSProp,0.1572,0.0939
CDAE,200,1e-05,219,RMSProp,0.1578,0.0942
CDAE,200,1e-05,239,RMSProp,0.1582,0.0942
CDAE,200,1e-05,259,RMSProp,0.1585,0.0941
CDAE,200,1e-05,279,RMSProp,0.1589,0.0941
CDAE,200,1e-05,299,RMSProp,0.1588,0.094
CDAE,200,1e-05,319,RMSProp,0.1592,0.0942
CDAE,200,1e-05,339,RMSProp,0.1594,0.0942
CDAE,200,1e-05,359,RMSProp,0.1596,0.0944
CDAE,200,1e-05,379,RMSProp,0.16,0.0948
CDAE,200,1e-05,399,RMSProp,0.1601,0.0944
CDAE,200,1e-05,419,RMSProp,0.1603,0.0948
CDAE,200,1e-05,439,RMSProp,0.1605,0.0947
CDAE,200,1e-05,459,RMSProp,0.1609,0.0949
CDAE,200,1e-05,479,RMSProp,0.161,0.0947
CDAE,200,1e-05,499,RMSProp,0.1613,0.0951
CDAE,200,1e-05,519,RMSProp,0.1611,0.0951
CDAE,200,1e-05,539,RMSProp,0.1614,0.0948
CDAE,200,1e-05,559,RMSProp,0.1616,0.0949
CDAE,200,1e-05,579,RMSProp,0.1621,0.0955
CDAE,200,1e-05,599,RMSProp,0.1622,0.0953
CDAE,200,1e-05,619,RMSProp,0.1621,0.0954
CDAE,200,1e-05,639,RMSProp,0.1624,0.0955
CDAE,200,1e-05,659,RMSProp,0.1625,0.0955
CDAE,200,1e-05,679,RMSProp,0.1624,0.0955
CDAE,200,1e-05,699,RMSProp,0.1627,0.0956
CDAE,200,1e-05,719,RMSProp,0.1627,0.0957
CDAE,200,1e-05,739,RMSProp,0.1626,0.0952
CDAE,200,1e-05,759,RMSProp,0.1627,0.0954
CDAE,200,1e-05,779,RMSProp,0.1631,0.0957
CDAE,200,1e-05,799,RMSProp,0.1626,0.0953
CDAE,200,1e-05,819,RMSProp,0.1627,0.0955
CDAE,200,1e-05,839,RMSProp,0.1624,0.0952
CDAE,200,1e-05,859,RMSProp,0.1627,0.0956
CDAE,200,1e-05,879,RMSProp,0.1626,0.0952
CDAE,200,1e-05,899,RMSProp,0.1628,0.0951
CDAE,200,1e-05,919,RMSProp,0.1627,0.0953
CDAE,200,1e-05,939,RMSProp,0.1629,0.0954
CDAE,200,1e-05,959,RMSProp,0.1629,0.0958
CDAE,200,1e-05,979,RMSProp,0.1629,0.0952
CDAE,200,1e-05,999,RMSProp,0.163,0.0953
VAE-CF,200,1e-05,19,RMSProp,0.1444,0.0877
VAE-CF,200,1e-05,39,RMSProp,0.1552,0.0924
VAE-CF,200,1e-05,59,RMSProp,0.1572,0.0915
VAE-CF,200,1e-05,79,RMSProp,0.1587,0.0908
VAE-CF,200,1e-05,99,RMSProp,0.1614,0.0913
VAE-CF,200,1e-05,119,RMSProp,0.163,0.0917
VAE-CF,200,1e-05,139,RMSProp,0.1633,0.0914
VAE-CF,200,1e-05,159,RMSProp,0.1641,0.0912
VAE-CF,200,1e-05,179,RMSProp,0.1642,0.0905
VAE-CF,200,1e-05,199,RMSProp,0.1638,0.0898
VAE-CF,200,1e-05,219,RMSProp,0.1642,0.0896
VAE-CF,200,1e-05,239,RMSProp,0.1636,0.0893
VAE-CF,200,1e-05,259,RMSProp,0.1633,0.0891
VAE-CF,200,1e-05,279,RMSProp,0.1636,0.0896
VAE-CF,200,1e-05,299,RMSProp,0.1633,0.0894
VAE-CF,200,1e-05,319,RMSProp,0.1631,0.0889
VAE-CF,200,1e-05,339,RMSProp,0.1631,0.0892
VAE-CF,200,1e-05,359,RMSProp,0.163,0.0896
VAE-CF,200,1e-05,379,RMSProp,0.1626,0.0893
VAE-CF,200,1e-05,399,RMSProp,0.1627,0.0893
VAE-CF,200,1e-05,419,RMSProp,0.1626,0.0888
VAE-CF,200,1e-05,439,RMSProp,0.1626,0.0891
VAE-CF,200,1e-05,459,RMSProp,0.1626,0.0893
VAE-CF,200,1e-05,479,RMSProp,0.1625,0.0895
VAE-CF,200,1e-05,499,RMSProp,0.1625,0.0894
VAE-CF,200,1e-05,519,RMSProp,0.1626,0.0893
VAE-CF,200,1e-05,539,RMSProp,0.1627,0.0893
VAE-CF,200,1e-05,559,RMSProp,0.1627,0.0895
VAE-CF,200,1e-05,579,RMSProp,0.1628,0.0889
VAE-CF,200,1e-05,599,RMSProp,0.1628,0.0892
VAE-CF,200,1e-05,619,RMSProp,0.1633,0.0894
VAE-CF,200,1e-05,639,RMSProp,0.1629,0.0894
VAE-CF,200,1e-05,659,RMSProp,0.1628,0.0891
VAE-CF,200,1e-05,679,RMSProp,0.1628,0.089
VAE-CF,200,1e-05,699,RMSProp,0.1629,0.089
VAE-CF,200,1e-05,719,RMSProp,0.1629,0.0895
VAE-CF,200,1e-05,739,RMSProp,0.1627,0.0893
VAE-CF,200,1e-05,759,RMSProp,0.1628,0.0897
VAE-CF,200,1e-05,779,RMSProp,0.1626,0.0892
VAE-CF,200,1e-05,799,RMSProp,0.163,0.0898
VAE-CF,200,1e-05,819,RMSProp,0.1631,0.0896
VAE-CF,200,1e-05,839,RMSProp,0.1628,0.0898
VAE-CF,200,1e-05,859,RMSProp,0.1626,0.0897
VAE-CF,200,1e-05,879,RMSProp,0.1632,0.09
VAE-CF,200,1e-05,899,RMSProp,0.1625,0.0894
VAE-CF,200,1e-05,919,RMSProp,0.1625,0.0895
VAE-CF,200,1e-05,939,RMSProp,0.1626,0.0898
VAE-CF,200,1e-05,959,RMSProp,0.1627,0.0898
VAE-CF,200,1e-05,979,RMSProp,0.1628,0.0896
VAE-CF,200,1e-05,999,RMSProp,0.1625,0.0897
IFVAE,50,0.0001,19,RMSProp,0.1342,0.0811
IFVAE,50,0.0001,39,RMSProp,0.1462,0.0863
IFVAE,50,0.0001,59,RMSProp,0.1555,0.0903
IFVAE,50,0.0001,79,RMSProp,0.1604,0.0927
IFVAE,50,0.0001,99,RMSProp,0.1652,0.0946
IFVAE,50,0.0001,119,RMSProp,0.168,0.0947
IFVAE,50,0.0001,139,RMSProp,0.1696,0.0965
IFVAE,50,0.0001,159,RMSProp,0.1706,0.0981
IFVAE,50,0.0001,179,RMSProp,0.1701,0.0974
IFVAE,50,0.0001,199,RMSProp,0.1702,0.0973
IFVAE,50,0.0001,219,RMSProp,0.1699,0.097
IFVAE,50,0.0001,239,RMSProp,0.1698,0.0972
IFVAE,50,0.0001,259,RMSProp,0.1698,0.0968
IFVAE,50,0.0001,279,RMSProp,0.17,0.0964
IFVAE,50,0.0001,299,RMSProp,0.1688,0.096
IFVAE,50,0.0001,319,RMSProp,0.1693,0.0959
IFVAE,50,0.0001,339,RMSProp,0.1692,0.0957
IFVAE,50,0.0001,359,RMSProp,0.17,0.0963
IFVAE,50,0.0001,379,RMSProp,0.169,0.0953
IFVAE,50,0.0001,399,RMSProp,0.1681,0.0953
IFVAE,50,0.0001,419,RMSProp,0.1686,0.0964
IFVAE,50,0.0001,439,RMSProp,0.1686,0.0947
IFVAE,50,0.0001,459,RMSProp,0.1682,0.0953
IFVAE,50,0.0001,479,RMSProp,0.1685,0.0954
IFVAE,50,0.0001,499,RMSProp,0.1676,0.0953
IFVAE,50,0.0001,519,RMSProp,0.1673,0.0947
IFVAE,50,0.0001,539,RMSProp,0.1676,0.0947
IFVAE,50,0.0001,559,RMSProp,0.1679,0.0948
IFVAE,50,0.0001,579,RMSProp,0.1677,0.095
IFVAE,50,0.0001,599,RMSProp,0.1681,0.0948
IFVAE,50,0.0001,619,RMSProp,0.1669,0.0938
IFVAE,50,0.0001,639,RMSProp,0.1677,0.0948
IFVAE,50,0.0001,659,RMSProp,0.1677,0.0937
IFVAE,50,0.0001,679,RMSProp,0.1671,0.0937
IFVAE,50,0.0001,699,RMSProp,0.1663,0.093
IFVAE,50,0.0001,719,RMSProp,0.1675,0.0938
IFVAE,50,0.0001,739,RMSProp,0.1677,0.0943
IFVAE,50,0.0001,759,RMSProp,0.1661,0.0929
IFVAE,50,0.0001,779,RMSProp,0.1665,0.0935
IFVAE,50,0.0001,799,RMSProp,0.1666,0.0939
IFVAE,50,0.0001,819,RMSProp,0.1676,0.0941
IFVAE,50,0.0001,839,RMSProp,0.1668,0.0941
IFVAE,50,0.0001,859,RMSProp,0.1667,0.0936
IFVAE,50,0.0001,879,RMSProp,0.166,0.0932
IFVAE,50,0.0001,899,RMSProp,0.1665,0.0941
IFVAE,50,0.0001,919,RMSProp,0.1659,0.0934
IFVAE,50,0.0001,939,RMSProp,0.1667,0.0931
IFVAE,50,0.0001,959,RMSProp,0.1675,0.0934
IFVAE,50,0.0001,979,RMSProp,0.1671,0.0947
IFVAE,50,0.0001,999,RMSProp,0.1662,0.0927
AutoRec,200,1e-05,19,RMSProp,0.1236,0.0748
AutoRec,200,1e-05,39,RMSProp,0.1324,0.0809
AutoRec,200,1e-05,59,RMSProp,0.1448,0.0882
AutoRec,200,1e-05,79,RMSProp,0.1526,0.0914
AutoRec,200,1e-05,99,RMSProp,0.1586,0.0946
AutoRec,200,1e-05,119,RMSProp,0.1606,0.0951
AutoRec,200,1e-05,139,RMSProp,0.1618,0.0945
AutoRec,200,1e-05,159,RMSProp,0.1625,0.0943
AutoRec,200,1e-05,179,RMSProp,0.1634,0.0945
AutoRec,200,1e-05,199,RMSProp,0.1643,0.0944
AutoRec,200,1e-05,219,RMSProp,0.1656,0.0949
AutoRec,200,1e-05,239,RMSProp,0.1663,0.0948
AutoRec,200,1e-05,259,RMSProp,0.1672,0.0946
AutoRec,200,1e-05,279,RMSProp,0.1674,0.0948
AutoRec,200,1e-05,299,RMSProp,0.1677,0.0947
AutoRec,200,1e-05,319,RMSProp,0.1673,0.0948
AutoRec,200,1e-05,339,RMSProp,0.1674,0.0949
AutoRec,200,1e-05,359,RMSProp,0.1673,0.0943
AutoRec,200,1e-05,379,RMSProp,0.1669,0.094
AutoRec,200,1e-05,399,RMSProp,0.1667,0.0941
AutoRec,200,1e-05,419,RMSProp,0.1666,0.0938
AutoRec,200,1e-05,439,RMSProp,0.1666,0.0932
AutoRec,200,1e-05,459,RMSProp,0.1662,0.0922
AutoRec,200,1e-05,479,RMSProp,0.1661,0.0918
AutoRec,200,1e-05,499,RMSProp,0.1655,0.091
AutoRec,200,1e-05,519,RMSProp,0.1652,0.0904
AutoRec,200,1e-05,539,RMSProp,0.1647,0.0897
AutoRec,200,1e-05,559,RMSProp,0.1638,0.0893
AutoRec,200,1e-05,579,RMSProp,0.1634,0.0887
AutoRec,200,1e-05,599,RMSProp,0.1629,0.0886
AutoRec,200,1e-05,619,RMSProp,0.1625,0.0886
AutoRec,200,1e-05,639,RMSProp,0.1619,0.0883
AutoRec,200,1e-05,659,RMSProp,0.1617,0.088
AutoRec,200,1e-05,679,RMSProp,0.1612,0.0882
AutoRec,200,1e-05,699,RMSProp,0.1606,0.0884
AutoRec,200,1e-05,719,RMSProp,0.1603,0.088
AutoRec,200,1e-05,739,RMSProp,0.16,0.0877
AutoRec,200,1e-05,759,RMSProp,0.1599,0.0878
AutoRec,200,1e-05,779,RMSProp,0.1595,0.0878
AutoRec,200,1e-05,799,RMSProp,0.1593,0.0876
AutoRec,200,1e-05,819,RMSProp,0.1591,0.0874
AutoRec,200,1e-05,839,RMSProp,0.1588,0.0875
AutoRec,200,1e-05,859,RMSProp,0.1585,0.0871
AutoRec,200,1e-05,879,RMSProp,0.1584,0.0871
AutoRec,200,1e-05,899,RMSProp,0.1583,0.087
AutoRec,200,1e-05,919,RMSProp,0.1582,0.087
AutoRec,200,1e-05,939,RMSProp,0.1579,0.087
AutoRec,200,1e-05,959,RMSProp,0.1577,0.0867
AutoRec,200,1e-05,979,RMSProp,0.1576,0.0867
AutoRec,200,1e-05,999,RMSProp,0.1575,0.0865
